CID,BL,BR,FL,FR,CE,RO,AC,AE,X,Y,Lin,Lo,Mu,Bo,Vi,Inter,Intra,Na,F1,F2,F3,F4,F5,F1,F2,F3,F4,F5,Personality
C102,11,11,10,10,12,17,18,11,-6,6,22,21,22,22,22,18,21,24,22,23,24,22,23,R,L,U,E,N,RLUEN
C1020,8,5,12,15,13,18,18,10,-8,5,25,24,28,24,26,31,27,30,21,32,28,21,22,R,L,U,E,N,RLUEN
C1021,9,11,13,7,9,15,19,14,-1,10,35,35,26,21,21,34,26,21,5,27,20,17,20,S,L,U,A,N,SLUAN
C1022,13,12,15,9,16,11,10,23,12,-6,26,22,26,26,21,34,30,29,21,31,28,22,19,R,L,U,E,I,RLUEI
C1023,9,8,13,9,10,15,18,14,-1,8,33,33,32,25,31,31,37,27,11,13,21,12,25,S,C,U,A,N,SCUAN
C1024,8,9,16,7,20,12,14,16,4,-6,29,28,35,28,27,26,30,35,18,28,23,14,20,S,L,U,A,N,SLUAN
C1025,13,8,12,7,10,13,18,18,5,8,23,27,21,34,29,33,29,27,16,16,24,15,24,S,C,U,A,N,SCUAN
C1026,7,8,17,8,16,16,15,15,-1,-1,31,28,31,32,34,28,29,34,9,19,15,8,24,S,C,O,A,N,SCOAN
C1027,8,7,15,11,22,14,17,14,0,-5,27,25,27,22,25,23,22,27,17,21,22,12,22,S,L,U,A,N,SLUAN
C1028,8,11,12,9,12,12,20,11,-1,8,37,35,34,34,34,37,31,35,13,33,22,17,20,S,L,U,A,N,SLUAN
C1029,12,7,12,9,16,13,15,11,-2,-1,31,31,33,28,29,26,28,39,19,18,20,20,19,S,C,U,E,I,SCUEI
C103,11,15,15,7,13,13,20,14,1,7,37,21,33,32,30,41,41,20,18,19,22,16,17,S,C,U,A,I,SCUAI
C1030,11,12,12,5,18,17,15,14,-3,-3,31,32,32,33,32,33,29,31,16,16,19,7,22,S,C,O,A,N,SCOAN
C1031,8,8,13,11,16,14,14,15,1,-2,27,32,26,31,24,28,26,31,16,23,18,14,24,S,L,O,A,N,SLOAN
C1032,8,11,13,8,13,14,14,22,8,1,27,30,36,35,34,31,33,28,26,14,18,22,28,R,C,O,E,N,RCOEN
C1033,7,9,13,11,19,10,13,20,10,-6,26,32,32,32,26,24,34,25,31,14,16,9,18,R,C,O,A,I,RCOAI
C1034,15,7,15,4,21,12,15,15,3,-6,35,35,36,32,39,35,36,35,11,22,13,11,20,S,L,O,A,N,SLOAN
C1035,11,8,9,12,16,12,15,18,6,-1,29,26,21,30,22,23,30,31,30,25,12,14,19,R,L,O,A,I,RLOAI
C1036,9,8,11,13,19,17,28,26,9,9,37,26,32,34,35,38,37,36,20,12,16,22,34,R,C,O,E,N,RCOEN
C1037,3,16,9,12,18,14,13,12,-2,-5,18,29,32,27,27,29,27,26,33,22,27,16,21,R,L,U,A,N,RLUAN
C1038,8,11,13,8,14,7,22,17,10,8,34,33,35,45,32,31,28,31,22,11,23,20,18,R,C,U,E,I,RCUEI
C1039,12,8,12,8,18,12,15,15,3,-3,35,25,25,33,36,29,32,29,11,12,28,8,24,S,C,U,A,N,SCUAN
C104,13,14,11,12,16,17,13,17,0,-3,30,26,26,23,26,26,24,23,36,36,8,7,7,R,L,O,A,I,RLOAI
C1040,11,8,12,9,15,12,18,19,7,3,31,31,25,27,36,32,30,29,16,19,13,17,25,S,C,O,A,N,SCOAN
C1041,7,9,15,9,20,16,14,13,-3,-6,26,38,34,31,34,35,31,36,28,16,10,7,22,R,C,O,A,N,RCOAN
C1042,9,7,16,8,16,16,14,18,2,-2,31,24,28,29,30,33,29,30,11,22,22,20,22,S,L,U,E,N,SLUEN
C1043,12,9,15,4,12,13,18,15,2,6,34,37,38,37,35,34,35,35,17,19,7,13,32,S,C,O,A,N,SCOAN
C1044,4,11,15,11,13,15,13,20,5,0,25,36,20,29,32,32,33,37,32,29,20,20,23,R,L,U,E,N,RLUEN
C1045,7,8,13,12,16,15,13,18,3,-3,32,24,23,24,24,28,25,25,10,27,15,9,18,S,L,O,A,I,SLOAI
C1046,12,13,11,4,16,11,13,17,6,-3,30,33,28,33,33,33,32,30,21,13,19,12,25,R,C,O,A,N,RCOAN
C1047,8,4,15,13,19,16,16,14,-2,-3,31,29,34,26,28,29,28,28,22,18,15,12,20,R,C,O,A,N,RCOAN
C1048,7,7,13,9,14,16,8,15,-1,-6,34,31,34,26,32,38,35,27,26,30,13,8,18,R,L,O,A,I,RLOAI
C1049,9,8,12,11,16,10,14,14,4,-2,29,27,34,32,31,30,29,29,28,23,20,23,17,R,L,U,E,I,RLUEI
C105,16,6,6,2,18,15,16,14,-1,-2,23,29,27,25,26,28,27,23,33,32,25,23,29,R,L,U,E,N,RLUEN
C1050,8,15,11,7,14,19,15,11,-8,1,34,35,26,35,29,33,33,27,21,22,21,21,22,R,L,U,E,N,RLUEN
C1051,9,7,13,11,17,15,12,18,3,-5,33,26,34,29,29,30,32,29,14,22,11,17,22,S,L,O,A,N,SLOAN
C1052,11,7,15,8,10,18,13,15,-3,3,26,28,35,29,26,32,21,34,12,31,11,10,18,S,L,O,A,I,SLOAI
C1053,7,8,17,8,15,16,11,17,1,-4,31,28,32,24,25,26,22,27,11,26,25,20,16,S,L,U,E,I,SLUEI
C1054,16,4,11,9,15,18,20,13,-5,5,21,28,19,21,26,27,31,34,22,19,19,19,21,R,C,O,A,N,RCOAN
C1055,13,8,12,7,19,12,14,13,1,-5,27,30,24,23,30,26,28,24,13,26,13,17,18,S,L,O,A,I,SLOAI
C1056,8,9,13,9,15,11,18,17,6,3,25,23,27,19,25,28,28,28,21,15,18,21,21,R,C,O,E,N,RCOEN
C1057,8,11,16,5,15,14,14,13,-1,-1,30,29,31,30,36,29,33,36,18,27,26,12,20,S,L,U,A,N,SLUAN
C1058,15,7,13,8,17,11,18,14,3,1,36,32,36,27,30,29,31,33,21,17,14,9,28,R,C,O,A,N,RCOAN
C1059,13,5,16,5,15,16,16,13,-3,1,31,31,36,31,35,33,30,31,8,19,23,23,27,S,C,U,E,N,SCUEN
C106,12,12,16,12,15,10,17,15,5,2,25,26,26,25,26,26,24,23,18,22,24,16,21,S,L,U,A,N,SLUAN
C1060,9,11,15,5,17,9,17,19,10,0,26,26,20,22,27,24,32,34,34,25,14,15,24,R,L,O,A,N,RLOAN
C1061,12,8,13,7,14,19,11,16,-3,-3,30,28,18,22,23,26,32,33,27,25,18,21,19,R,L,O,E,I,RLOEI
C1062,12,4,16,8,17,10,17,17,7,0,30,26,31,20,28,32,30,31,29,27,12,7,25,R,L,O,A,N,RLOAN
C1063,12,1,15,12,13,17,17,15,-2,4,28,32,34,23,24,34,26,29,17,27,24,23,24,S,L,U,E,N,SLUEN
C1064,13,8,15,4,13,14,14,16,2,1,26,30,28,24,30,30,25,30,24,25,14,9,28,R,L,O,A,N,RLOAN
C1065,7,9,15,9,17,9,12,19,10,-5,23,28,33,31,30,32,22,32,23,24,27,21,21,R,L,U,E,N,RLUEN
C1066,12,12,9,7,16,6,14,19,13,-2,23,30,21,30,20,25,26,18,24,21,26,12,25,R,L,U,A,N,RLUAN
C1067,11,12,12,5,13,14,16,18,4,3,29,31,34,27,32,37,33,28,20,18,19,21,21,R,C,O,E,N,RCOEN
C1068,11,4,15,11,22,11,11,18,7,-11,30,26,33,28,28,37,26,27,20,19,22,18,23,R,C,U,A,N,RCUAN
C1069,12,7,12,9,18,16,17,14,-2,-1,31,28,31,26,36,35,28,31,20,18,20,22,22,R,C,U,E,N,RCUEN
C107,11,15,9,10,16,17,13,15,-2,-3,24,23,22,25,23,22,24,25,18,23,15,17,22,S,L,O,A,N,SLOAN
C1070,8,12,4,16,19,10,19,16,6,0,26,29,35,26,27,22,23,24,29,21,22,22,23,R,L,U,E,N,RLUEN
C1071,8,13,8,11,20,14,15,13,-1,-5,37,29,29,29,22,27,34,30,17,16,11,17,19,S,C,O,A,I,SCOAI
C1072,15,5,11,9,17,12,14,18,6,-3,29,30,34,26,27,28,31,31,26,27,16,15,16,R,L,O,A,I,RLOAI
C1073,4,12,12,12,12,14,16,17,3,4,31,25,29,32,26,33,28,31,17,24,16,20,20,S,L,O,E,N,SLOEN
C1074,19,8,5,8,16,12,17,16,4,1,33,33,38,30,34,32,34,33,16,10,15,22,24,S,C,O,E,N,SCOEN
C1075,12,9,14,5,16,18,15,13,-5,-1,29,28,36,30,30,28,29,29,19,17,15,36,13,S,C,O,E,I,SCOEI
C1076,9,9,15,7,15,19,14,12,-7,-1,24,31,33,27,30,33,26,15,7,26,25,28,15,S,L,U,E,I,SLUEI
C1077,11,7,15,8,16,12,13,15,3,-3,29,32,32,31,27,32,31,27,26,21,15,16,23,R,L,O,A,N,RLOAN
C1078,4,15,12,9,19,16,15,13,-3,-4,33,27,36,31,30,33,29,31,18,23,17,14,22,S,L,O,A,N,SLOAN
C1079,9,9,15,7,16,16,13,11,-5,-3,36,32,24,25,28,28,28,31,29,26,23,9,25,R,L,U,A,N,RLUAN
C108,11,18,15,12,18,16,14,14,-2,-4,24,24,25,31,27,23,31,25,8,9,9,9,7,S,C,O,A,I,SCOAI
C1080,9,7,15,9,16,15,15,14,-1,-1,35,35,28,31,30,29,33,31,29,18,20,20,22,R,C,U,E,N,RCUEN
C1081,16,3,13,8,17,15,14,14,-1,-3,32,31,37,37,27,37,30,31,18,19,24,17,24,S,C,U,A,N,SCUAN
C1082,7,8,15,11,14,19,11,12,-7,-3,27,27,32,23,26,24,29,31,18,23,18,13,22,S,L,O,A,N,SLOAN
C1083,11,4,16,9,17,14,14,20,6,-3,39,31,32,27,30,31,29,31,16,22,20,16,16,S,L,U,A,I,SLUAI
C1084,7,9,19,5,12,18,15,18,0,3,34,36,38,36,29,32,30,39,16,22,20,16,16,S,L,U,A,I,SLUAI
C1085,13,4,15,8,13,17,17,13,-4,4,31,35,36,20,32,35,33,32,29,25,5,13,23,R,L,O,A,N,RLOAN
C1086,11,11,12,7,14,20,11,13,-7,-3,33,31,29,30,30,31,30,26,17,22,7,21,23,S,L,O,E,N,SLOEN
C1087,9,13,11,7,16,13,19,12,-1,3,28,34,25,25,31,29,28,31,23,23,22,14,20,R,L,U,A,N,RLUAN
C1088,9,11,15,5,13,12,16,16,4,3,33,32,35,32,27,33,35,32,17,28,16,9,23,S,L,O,A,N,SLOAN
C1089,12,8,8,12,14,15,13,17,2,-1,31,44,36,25,30,34,31,30,15,21,7,12,23,S,L,O,A,N,SLOAN
C109,20,20,15,18,18,15,20,10,-5,2,24,13,12,12,14,19,8,21,16,18,15,17,14,S,C,O,A,I,SCOAI
C1090,11,7,12,4,12,15,17,14,-1,5,33,33,23,31,28,37,30,36,12,11,21,15,15,S,C,U,A,I,SCUAI
C1091,5,2,15,8,17,9,13,18,9,-4,31,31,21,25,22,28,31,19,21,19,22,27,27,R,C,U,E,N,RCUEN
C1092,12,9,19,7,17,12,16,15,3,-1,33,37,28,33,34,35,31,36,12,22,15,7,20,S,L,O,A,N,SLOAN
C1093,15,5,11,5,12,17,19,11,-6,7,25,31,33,33,29,34,31,29,21,16,24,15,22,R,C,U,A,N,RCUAN
C1094,12,9,9,9,12,16,15,18,2,3,29,31,21,28,17,31,30,33,23,17,15,17,17,R,C,O,A,I,RCOAI
C1095,13,9,9,8,17,13,13,19,6,-4,15,29,24,28,23,30,33,33,27,12,11,18,22,R,C,O,A,N,RCOAN
C1096,11,12,13,4,11,19,13,13,-6,2,25,32,29,29,29,34,26,32,20,27,16,19,17,R,L,O,A,I,RLOAI
C1097,9,7,15,9,14,18,15,19,1,1,27,24,23,28,24,21,22,30,16,29,25,23,22,S,L,U,E,N,SLUEN
C1098,7,5,17,7,18,10,17,17,7,-1,24,29,27,28,30,30,33,30,7,14,13,7,22,S,C,O,A,N,SCOAN
C1099,7,7,13,9,14,18,14,17,-1,0,23,36,38,33,31,35,30,32,8,16,20,6,24,S,C,U,A,N,SCUAN
C11,19,19,19,17,15,12,16,12,0,1,31,32,39,37,37,35,30,40,14,23,20,9,24,S,L,U,A,N,SLUAN
C110,17,17,14,15,19,10,13,19,9,-6,25,25,25,19,23,27,17,14,9,17,8,12,8,S,C,O,A,I,SCOAI
C1100,12,11,9,8,16,14,18,17,3,2,27,32,33,26,24,33,18,23,11,27,24,17,19,S,L,U,A,I,SLUAI
C1101,11,7,13,9,12,14,13,20,6,1,27,28,26,27,29,29,32,37,33,20,11,17,20,R,L,O,A,N,RLOAN
C1102,5,9,16,9,12,18,17,15,-3,5,30,21,29,26,26,30,21,23,16,13,18,8,21,S,C,O,A,N,SCOAN
C1103,8,16,16,8,13,21,18,9,-12,5,22,32,27,25,32,33,33,35,11,23,17,9,20,S,L,O,A,N,SLOAN
C1104,11,8,13,8,17,15,9,17,2,-8,31,42,33,34,37,36,34,35,12,23,21,12,16,S,L,U,A,I,SLUAI
C1105,9,8,5,7,21,10,15,17,7,-6,30,35,34,31,33,30,34,38,26,18,14,15,14,R,C,O,A,I,RCOAI
C1106,12,8,11,9,18,17,9,16,-1,-9,36,35,38,30,26,40,37,34,23,20,20,14,17,R,L,U,A,I,RLUAI
C1107,9,9,7,15,16,16,15,12,-4,-1,38,34,32,31,30,28,24,28,23,15,19,12,22,R,C,O,A,N,RCOAN
C1108,5,9,9,16,20,13,12,15,2,-8,30,35,32,31,33,25,31,36,25,27,23,20,21,R,L,U,E,N,RLUEN
C1109,11,8,13,8,12,12,15,20,8,3,32,28,35,28,27,38,38,34,22,23,14,12,24,R,L,O,A,N,RLOAN
C111,15,14,15,14,13,13,18,17,4,5,37,21,33,32,30,41,41,20,20,20,20,20,20,R,L,U,E,N,RLUEN
C1110,15,8,13,8,16,19,15,14,-5,-1,29,32,34,28,24,32,30,29,33,15,5,14,25,R,C,O,A,N,RCOAN
C1111,11,9,15,5,17,11,12,8,-3,-5,26,32,27,19,27,30,31,36,22,13,23,7,18,R,C,U,A,I,RCUAI
C1112,5,16,12,9,13,18,16,16,-2,3,29,30,39,36,36,35,37,32,11,25,24,19,15,S,L,U,A,I,SLUAI
C1113,15,7,15,4,14,17,13,14,-3,-1,24,35,25,26,18,26,25,28,28,10,17,21,24,R,C,O,E,N,RCOEN
C1114,12,8,11,9,12,15,13,15,0,1,27,24,35,31,25,32,24,24,20,20,15,22,20,R,L,O,E,N,RLOEN
C1115,7,13,15,8,16,13,14,14,1,-2,25,33,28,25,30,30,20,24,27,20,21,16,29,R,L,U,A,N,RLUAN
C1116,13,9,8,9,14,14,16,14,0,2,36,31,33,28,35,37,21,38,5,25,15,13,11,S,L,O,A,I,SLOAI
C1117,12,8,12,8,15,18,13,16,-2,-2,30,34,34,29,28,36,31,32,10,25,13,13,28,S,L,O,A,N,SLOAN
C1118,7,9,15,9,12,17,18,12,-5,6,37,37,39,37,33,35,35,37,15,18,21,14,23,S,C,U,A,N,SCUAN
C1119,9,3,11,8,14,14,15,15,1,1,26,33,24,25,25,26,27,29,28,23,11,24,20,R,L,O,E,N,RLOEN
C112,16,17,13,16,18,12,16,14,2,-2,26,23,28,26,27,24,25,23,23,18,20,14,20,R,C,U,A,N,RCUAN
C1120,9,12,11,7,18,17,13,16,-1,-5,29,31,38,27,30,32,31,31,17,28,16,12,22,S,L,O,A,N,SLOAN
C1121,12,1,9,17,13,13,19,13,0,6,34,28,37,31,30,31,30,33,22,14,13,16,18,R,C,O,A,I,RCOAI
C1122,12,5,13,13,12,16,17,14,-2,5,32,30,35,26,30,33,27,34,8,20,27,9,24,S,L,U,A,N,SLUAN
C1123,13,9,13,4,14,18,14,12,-6,0,13,34,39,33,36,34,36,35,20,23,17,23,25,R,L,O,E,N,RLOEN
C1124,12,13,8,7,12,11,15,7,-4,3,27,31,23,29,31,33,30,29,14,17,15,20,17,S,C,O,E,I,SCOEI
C1125,12,11,8,9,17,15,17,13,-2,0,30,30,33,27,26,31,31,31,15,19,19,14,7,S,C,O,A,I,SCOAI
C1126,11,8,13,8,15,19,8,16,-3,-7,26,30,36,34,24,35,32,33,9,20,15,9,16,S,L,O,A,I,SLOAI
C1127,7,9,15,8,17,13,16,15,2,-1,36,34,40,34,36,36,36,37,12,17,15,8,22,S,C,O,A,N,SCOAN
C1128,13,7,11,9,16,12,12,19,7,-4,28,27,34,19,28,32,27,29,11,20,23,30,29,S,L,U,E,N,SLUEN
C1129,9,8,17,5,14,18,14,17,-1,0,29,29,30,27,27,34,27,35,17,20,22,18,12,S,L,U,A,I,SLUAI
C113,15,20,6,4,17,18,14,10,-8,-3,20,25,20,20,15,20,21,23,22,18,21,21,22,R,C,U,E,N,RCUEN
C1130,12,7,11,11,17,16,19,12,-4,2,28,32,31,30,25,30,28,26,19,13,16,19,21,S,C,O,A,N,SCOAN
C1131,8,5,15,12,18,13,13,16,3,-5,22,30,33,17,21,30,30,25,17,18,10,13,22,S,C,O,A,N,SCOAN
C1132,9,7,12,12,15,19,15,14,-5,0,32,28,28,24,29,25,29,31,13,25,14,11,16,S,L,O,A,I,SLOAI
C1133,13,4,16,7,15,16,16,11,-5,1,30,34,29,25,27,29,32,27,28,17,18,10,21,R,C,O,A,N,RCOAN
C1134,8,9,13,12,14,15,17,11,-4,3,31,31,38,24,30,32,231,26,16,24,27,26,21,S,L,U,E,N,SLUEN
C1135,15,3,9,13,12,14,13,15,1,1,35,34,29,27,38,34,37,37,9,16,27,13,18,S,C,U,A,I,SCUAI
C1136,13,8,8,11,11,16,15,16,0,4,26,39,36,31,30,35,35,35,15,14,12,11,24,S,C,O,A,N,SCOAN
C1137,13,7,12,8,12,16,18,15,-1,6,27,26,32,27,28,28,29,32,14,13,20,17,25,S,C,U,A,N,SCUAN
C1138,13,5,9,9,17,12,15,15,3,-2,37,28,36,32,26,29,36,32,8,13,22,17,29,S,C,U,A,N,SCUAN
C1139,9,16,7,8,13,17,19,17,0,6,34,34,36,30,30,37,36,33,11,26,15,15,25,S,L,O,A,N,SLOAN
C114,13,11,20,16,8,5,19,20,15,11,35,40,38,40,40,37,40,40,17,24,23,17,35,S,L,U,A,N,SLUAN
C1140,3,3,15,8,17,12,17,15,3,0,22,24,29,24,20,20,22,23,19,28,18,20,25,S,L,O,E,N,SLOEN
C1141,9,15,13,3,18,12,14,14,2,-4,29,22,35,26,24,32,27,23,10,21,26,18,17,S,L,U,A,I,SLUAI
C1142,11,7,15,8,13,16,19,18,2,6,27,35,26,24,31,35,31,30,11,17,11,17,20,S,C,O,A,N,SCOAN
C1143,9,5,19,7,14,12,21,10,-2,7,32,33,36,31,21,29,29,24,5,24,19,18,20,S,L,O,A,N,SLOAN
C1144,12,4,17,7,17,13,16,14,1,-1,28,31,27,35,31,25,27,23,25,21,14,10,22,R,L,O,A,N,RLOAN
C115,13,14,14,10,16,15,17,12,-3,1,25,15,30,31,18,45,14,30,20,22,23,11,14,R,L,U,A,I,RLUAI
C116,10,10,10,13,12,15,11,19,4,-1,25,15,30,31,16,45,30,14,15,11,12,22,27,S,C,O,E,N,SCOEN
C117,13,14,14,13,17,15,11,13,-2,-6,25,15,23,22,30,31,45,14,20,22,23,11,14,R,L,U,A,I,RLUAI
C118,10,13,11,12,17,18,13,14,-4,-4,20,28,24,28,29,18,38,28,15,22,26,25,20,S,L,U,E,N,SLUEN
C119,14,15,12,9,12,20,17,16,-4,5,24,19,20,23,21,20,23,22,21,18,21,19,21,R,C,U,A,N,RCUAN
C12,10,13,12,16,15,15,18,10,-5,3,22,31,25,35,28,27,30,28,8,23,13,6,24,S,L,O,A,N,SLOAN
C120,16,15,11,11,19,16,8,14,-2,-11,22,21,22,22,21,21,14,22,19,18,17,16,17,S,C,O,A,I,SCOAI
C121,15,16,16,14,12,18,15,13,-5,3,22,21,22,22,22,18,22,26,21,20,20,20,21,R,L,U,E,N,RLUEN
C122,15,16,6,14,14,15,16,13,-2,2,29,33,30,26,29,27,34,27,20,21,22,20,21,R,L,U,E,N,RLUEN
C123,15,17,14,16,11,14,11,17,3,0,36,38,32,34,32,36,32,38,13,13,13,14,15,S,C,O,A,I,SCOAI
C124,16,16,18,17,11,14,11,17,3,0,37,32,38,34,36,37,31,36,13,13,13,14,25,S,C,O,A,N,SCOAN
C125,18,17,19,18,15,15,14,25,10,-1,26,27,34,19,21,32,23,27,21,21,18,17,20,R,L,O,A,N,RLOAN
C126,19,14,15,16,15,15,14,25,10,-1,26,27,34,19,21,32,23,24,21,20,18,17,20,R,L,O,A,N,RLOAN
C127,17,18,19,17,15,18,9,17,-1,-6,32,20,40,22,25,30,26,32,11,17,15,13,29,S,C,O,A,N,SCOAN
C128,4,12,14,14,18,13,16,18,5,-2,34,40,29,42,33,39,40,41,19,22,18,24,25,S,L,O,E,N,SLOEN
C129,16,14,10,14,18,13,16,18,5,-2,40,50,60,50,40,35,40,30,20,19,25,21,23,R,C,U,E,N,RCUEN
C13,12,14,13,13,15,9,14,18,9,-1,29,29,32,39,31,35,39,25,11,20,21,22,24,S,L,U,E,N,SLUEN
C130,17,19,12,10,18,13,16,18,5,-2,24,40,37,36,21,26,34,38,19,22,18,24,29,S,L,O,E,N,SLOEN
C131,18,18,19,17,10,17,14,15,-2,4,33,27,38,24,22,34,28,38,11,17,15,13,29,S,C,O,A,N,SCOAN
C132,13,11,9,11,12,13,9,11,-2,-3,33,22,30,40,27,14,33,38,20,18,16,16,12,R,C,O,A,I,RCOAI
C133,17,18,20,20,11,12,14,21,9,3,38,38,39,36,38,37,40,36,17,21,17,18,26,S,L,O,A,N,SLOAN
C134,12,12,10,8,13,13,14,18,5,1,15,20,22,23,21,19,19,18,15,24,14,9,21,S,L,O,A,N,SLOAN
C135,13,18,13,11,14,14,16,17,3,2,33,30,44,25,23,35,29,32,8,25,12,11,28,S,L,O,A,N,SLOAN
C136,15,14,12,14,16,14,15,18,4,-1,32,60,31,21,27,36,36,33,14,22,14,11,24,S,L,O,A,N,SLOAN
C137,10,11,6,7,17,15,16,12,-3,-1,24,32,16,22,22,30,26,30,22,20,7,9,26,R,L,O,A,N,RLOAN
C138,13,16,17,15,19,11,12,20,9,-7,22,34,27,25,25,34,33,25,17,19,19,15,20,S,C,O,A,N,SCOAN
C139,8,14,18,10,14,13,16,18,5,2,28,22,29,37,25,27,30,38,17,18,23,15,21,S,C,U,A,N,SCUAN
C14,11,18,14,13,15,17,13,13,-4,-2,31,36,32,28,25,31,28,30,13,18,22,21,22,S,C,U,E,N,SCUEN
C140,14,20,15,16,13,16,18,13,-3,5,29,27,38,31,33,38,30,29,8,19,37,14,21,S,C,U,A,N,SCUAN
C141,19,20,16,18,20,14,13,17,3,-7,30,31,31,27,29,29,24,31,23,19,15,16,20,R,C,O,A,N,RCOAN
C142,10,15,13,10,15,16,16,13,-3,1,28,28,30,29,31,30,37,31,20,10,21,18,22,R,C,U,A,N,RCUAN
C143,17,18,18,19,17,13,16,13,0,-1,36,34,29,27,22,43,32,32,10,13,15,10,20,S,C,O,A,N,SCOAN
C144,10,16,13,18,15,17,19,12,-5,4,33,33,40,30,32,32,30,26,18,15,19,16,18,S,C,O,A,I,SCOAI
C145,14,13,9,7,15,9,13,19,10,-2,23,20,24,27,23,28,25,21,18,20,20,12,28,S,L,U,A,N,SLUAN
C146,19,16,7,13,13,20,17,9,-11,4,28,23,25,30,28,23,28,10,11,20,13,13,21,S,L,O,A,N,SLOAN
C147,18,19,17,15,16,14,15,16,2,-1,33,39,30,28,32,37,36,26,26,27,31,26,34,R,L,U,E,N,RLUEN
C148,14,14,15,11,14,15,16,17,2,2,22,31,30,29,33,35,37,30,26,27,31,19,34,R,L,U,A,N,RLUAN
C149,12,14,11,13,14,14,20,15,1,6,28,25,23,26,29,29,32,30,10,9,17,7,23,S,C,O,A,N,SCOAN
C15,17,16,16,19,12,14,13,19,5,1,30,37,34,33,33,31,35,33,8,17,9,12,29,S,C,O,A,N,SCOAN
C150,15,15,9,13,20,15,12,13,-2,-8,27,40,30,19,20,24,36,33,27,20,10,21,19,R,L,O,E,I,RLOEI
C151,16,18,12,10,12,14,19,12,-2,7,27,27,24,27,24,43,25,19,16,14,16,14,17,S,C,O,A,I,SCOAI
C152,12,18,12,11,14,15,16,17,2,2,30,26,30,27,28,30,30,32,21,22,17,20,10,R,L,O,E,I,RLOEI
C153,16,20,14,19,15,12,19,14,2,4,34,34,31,36,32,36,35,31,8,11,9,16,23,S,C,O,A,N,SCOAN
C154,9,15,13,13,15,21,11,14,-7,-4,27,36,23,23,32,22,26,26,23,23,18,14,17,R,L,O,A,I,RLOAI
