Date	State	Account length	Area code	International plan	Voice mail plan	Number vmail messages	Total day minutes	Total day calls	Total day charge	Total eve minutes	Total eve calls	Total eve charge	Total night minutes	Total night calls	Total night charge	Total intl minutes	Total intl calls	Total intl charge	Customer service calls	Churn	Total Call Duration	Total Call Charge
12/21/09	AL	98	408	No	No	0	161	117	27.37	190.9	113	16.23	227.7	113	10.25	12.1	4	3.27	4	FALSE	343	53.85
12/22/09	DE	125	408	No	No	0	126.7	108	21.54	206	90	17.51	247.8	114	11.15	13.3	7	3.59	1	FALSE	312	50.2
12/23/09	AZ	63	415	No	No	0	58.9	125	10.01	169.6	59	14.42	211.4	88	9.51	9.4	3	2.54	1	FALSE	272	33.94
12/24/09	ME	36	510	Yes	Yes	42	196.8	89	33.46	254.9	122	21.67	138.3	126	6.22	20	6	5.4	0	TRUE	337	61.35
12/25/09	NJ	64	510	No	No	0	162.6	83	27.64	152.3	109	12.95	57.5	122	2.59	14.2	3	3.83	1	FALSE	314	43.18
12/26/09	NV	74	415	No	No	0	282.5	114	48.03	219.9	48	18.69	170	115	7.65	9.4	4	2.54	1	TRUE	277	74.37
12/27/09	MO	112	510	No	Yes	36	113.7	117	19.33	157.5	82	13.39	177.6	118	7.99	10	3	2.7	2	FALSE	317	40.71
12/28/09	ID	97	408	No	No	0	239.8	125	40.77	214.8	111	18.26	143.3	81	6.45	8.7	5	2.35	2	FALSE	317	65.48
12/29/09	NE	46	408	No	No	0	210.2	92	35.73	227.3	77	19.32	200.1	116	9	13.1	7	3.54	1	FALSE	285	64.05
12/30/09	TX	41	408	No	Yes	22	213.8	102	36.35	141.8	86	12.05	142.2	123	6.4	7.2	3	1.94	0	FALSE	311	54.8
12/31/09	MD	121	510	No	No	0	190.7	103	32.42	183.5	117	15.6	220.8	103	9.94	9.8	4	2.65	3	FALSE	323	57.96
01/01/10	MS	193	415	No	No	0	170.9	124	29.05	132.3	95	11.25	112.9	89	5.08	11.6	3	3.13	1	FALSE	308	45.38
01/02/10	NV	130	510	No	No	0	154.2	119	26.21	110.2	98	9.37	227.4	117	10.23	9.2	5	2.48	2	FALSE	334	45.81
01/03/10	AZ	85	408	No	No	0	201.4	52	34.24	229.4	104	19.5	252.5	106	11.36	12	3	3.24	1	FALSE	262	65.1
01/04/10	MS	162	415	No	No	0	70.7	108	12.02	157.5	87	13.39	154.8	82	6.97	9.1	3	2.46	4	TRUE	277	32.38
01/05/10	MS	61	510	No	Yes	27	187.5	124	31.88	146.6	103	12.46	225.7	129	10.16	6.4	6	1.73	4	TRUE	356	54.5
01/06/10	TX	92	408	No	No	0	91.7	90	15.59	193.7	123	16.46	175	86	7.88	9.2	4	2.48	2	FALSE	299	39.93
01/07/10	NE	131	408	No	Yes	36	214.2	115	36.41	161.7	117	13.74	264.7	102	11.91	9.5	4	2.57	3	FALSE	334	62.06
01/08/10	NE	90	415	No	No	0	145.5	92	24.74	217.7	114	18.5	146.9	123	6.61	10.9	2	2.94	3	FALSE	329	49.85
01/09/10	CA	75	408	No	No	0	166.3	125	28.27	158.2	86	13.45	256.7	80	11.55	6.1	5	1.65	1	FALSE	291	53.27
01/10/10	NJ	78	415	No	No	0	231	115	39.27	230.4	140	19.58	261.4	120	11.76	9.5	3	2.57	1	FALSE	375	70.61
01/11/10	TX	82	408	No	No	0	200.3	96	34.05	201.2	102	17.1	206.1	60	9.27	7.1	1	1.92	4	FALSE	258	60.42
01/12/10	AR	163	408	No	No	0	197	109	33.49	202.6	128	17.22	206.4	80	9.29	9.1	10	2.46	1	FALSE	317	60
01/13/10	AL	91	510	Yes	No	0	129.9	112	22.08	173.3	83	14.73	247.2	130	11.12	11.2	3	3.02	3	FALSE	325	47.93
01/14/10	NY	75	415	No	Yes	21	175.8	97	29.89	217.5	106	18.49	237.5	134	10.69	5.3	4	1.43	5	FALSE	337	59.07
01/15/10	FL	91	510	No	No	0	203.1	106	34.53	210.1	113	17.86	195.6	129	8.8	12	3	3.24	3	FALSE	348	61.19
01/16/10	AK	127	510	No	Yes	36	183.2	117	31.14	126.8	76	10.78	263.3	71	11.85	11.2	8	3.02	1	FALSE	264	53.77
01/17/10	NV	113	415	No	Yes	23	205	101	34.85	152	60	12.92	158.6	59	7.14	10.2	5	2.75	2	FALSE	220	54.91
01/18/10	DE	110	510	No	No	0	148.5	115	25.25	276.4	84	23.49	193.6	112	8.71	12.4	3	3.35	1	FALSE	311	57.45
01/19/10	MD	120	415	No	Yes	39	200.3	68	34.05	220.4	97	18.73	253.8	116	11.42	10.5	4	2.84	0	FALSE	281	64.2
01/20/10	MI	157	415	No	Yes	28	192.6	107	32.74	195.5	74	16.62	109.7	139	4.94	6.8	5	1.84	3	FALSE	320	54.3
01/21/10	VT	103	510	No	No	0	246.5	47	41.91	195.5	84	16.62	200.5	96	9.02	11.7	4	3.16	1	FALSE	227	67.55
01/22/10	VT	117	408	Yes	No	0	167.1	86	28.41	177.5	87	15.09	249.4	132	11.22	14.1	7	3.81	2	TRUE	305	54.72
01/23/10	MI	140	415	No	No	0	231.9	101	39.42	160.1	94	13.61	110.4	98	4.97	14.3	6	3.86	3	FALSE	293	58
01/24/10	WA	127	408	No	No	0	146.7	91	24.94	203.5	78	17.3	203.4	110	9.15	13.7	3	3.7	1	FALSE	279	51.39
01/25/10	UT	83	408	Yes	No	0	271.5	87	46.16	216.3	126	18.39	121.1	105	5.45	11.7	4	3.16	1	FALSE	318	70
01/26/10	LA	121	408	No	No	0	181.5	121	30.86	218.4	98	18.56	161.6	103	7.27	8.5	5	2.3	1	FALSE	322	56.69
01/27/10	RI	145	408	No	Yes	43	257.7	97	43.81	162.1	95	13.78	286.9	86	12.91	11.1	4	3	2	FALSE	278	70.5
01/28/10	IA	113	408	No	No	0	193.8	99	32.95	221.4	125	18.82	172.3	67	7.75	10.6	6	2.86	1	FALSE	291	59.52
01/29/10	NE	117	415	No	No	0	102.8	119	17.48	206.7	91	17.57	299	105	13.46	10.1	7	2.73	1	FALSE	315	48.51
01/30/10	OH	65	408	No	No	0	187.9	116	31.94	157.6	117	13.4	227.3	86	10.23	7.5	6	2.03	1	FALSE	319	55.57
01/31/10	RI	56	415	No	No	0	226	112	38.42	248.5	118	21.12	140.5	142	6.32	6.9	11	1.86	1	FALSE	372	65.86
02/01/10	OK	96	415	No	No	0	260.4	115	44.27	146	46	12.41	269.5	87	12.13	11.5	4	3.11	5	FALSE	248	68.81
02/02/10	LA	151	408	No	No	0	178.7	116	30.38	292.1	138	24.83	265.9	101	11.97	9.8	4	2.65	0	FALSE	355	67.18
02/03/10	OH	83	415	No	No	0	337.4	120	57.36	227.4	116	19.33	153.9	114	6.93	15.8	7	4.27	0	TRUE	350	83.62
02/04/10	VA	139	510	No	Yes	23	157.6	129	26.79	247	96	21	259.2	112	11.66	13.7	2	3.7	0	FALSE	337	59.45
02/05/10	MO	6	510	No	No	0	183.6	117	31.21	256.7	72	21.82	178.6	79	8.04	10.2	2	2.75	1	FALSE	268	61.07
02/06/10	FL	115	510	No	Yes	24	142.1	124	24.16	183.4	129	15.59	164.8	114	7.42	9.6	4	2.59	1	FALSE	367	47.17
02/07/10	SC	87	415	No	No	0	136.3	97	23.17	172.2	108	14.64	137.5	101	6.19	7.1	5	1.92	0	FALSE	306	44
02/08/10	VA	141	415	No	No	0	217.1	110	36.91	241.5	111	20.53	253.5	103	11.41	12	6	3.24	0	FALSE	324	68.85
02/09/10	IA	141	510	No	Yes	36	187.5	99	31.88	241.4	116	20.52	229.5	105	10.33	10.5	5	2.84	3	FALSE	320	62.73
02/10/10	MI	62	415	No	No	0	98.9	103	16.81	135.4	122	11.51	236.6	82	10.65	12.2	1	3.29	1	FALSE	307	38.97
02/11/10	OK	146	415	No	No	0	206.3	151	35.07	148.6	89	12.63	167.2	91	7.52	6.1	3	1.65	1	FALSE	331	55.22
02/12/10	DE	92	415	No	Yes	33	243.1	92	41.33	213.8	92	18.17	228.7	104	10.29	12.1	2	3.27	2	FALSE	288	69.79
02/13/10	GA	185	510	No	Yes	31	189.8	126	32.27	163.3	133	13.88	264.8	126	11.92	7.5	3	2.03	1	FALSE	385	58.07
02/14/10	DC	148	415	No	No	0	202	102	34.34	243.2	128	20.67	261.3	90	11.76	10.9	3	2.94	1	FALSE	320	66.77
02/15/10	AZ	94	408	No	Yes	38	170.1	124	28.92	193.3	116	16.43	105.9	73	4.77	12.8	4	3.46	1	FALSE	313	50.12
02/16/10	AL	32	510	No	No	0	230.9	87	39.25	187.4	90	15.93	154	53	6.93	6.3	2	1.7	0	FALSE	230	62.11
02/17/10	CO	68	408	No	No	0	237.1	105	40.31	223.5	105	19	97.4	79	4.38	13.2	2	3.56	1	FALSE	289	63.69
02/18/10	NH	64	408	No	Yes	27	182.1	91	30.96	169.7	98	14.42	164.7	86	7.41	10.6	5	2.86	2	FALSE	275	52.79
02/19/10	NM	25	415	No	No	0	119.3	87	20.28	211.5	101	17.98	268.9	86	12.1	10.5	4	2.84	3	FALSE	274	50.36
02/20/10	OR	65	415	No	No	0	116.8	87	19.86	178.9	93	15.21	182.4	150	8.21	14.1	2	3.81	1	FALSE	330	43.28
02/21/10	LA	179	408	No	No	0	219.2	92	37.26	149.4	125	12.7	244.7	104	11.01	6.1	5	1.65	0	FALSE	321	60.97
02/22/10	NE	94	415	No	No	0	252.6	104	42.94	169	125	14.37	170.9	106	7.69	11.1	7	3	2	FALSE	335	65
02/23/10	MN	62	415	No	No	0	147.1	91	25.01	190.4	107	16.18	195.2	115	8.78	12.2	3	3.29	0	FALSE	313	49.97
02/24/10	MI	127	415	No	No	0	202.1	103	34.36	229.4	86	19.5	195.2	113	8.78	11.5	3	3.11	2	FALSE	302	62.64
02/25/10	AR	116	408	No	No	0	173.5	93	29.5	194.1	76	16.5	208	112	9.36	16.2	10	4.37	3	FALSE	281	55.36
02/26/10	KS	70	408	No	No	0	232.1	122	39.46	292.3	112	24.85	201.2	112	9.05	0	0	0	3	FALSE	346	73.36
02/27/10	WV	94	510	Yes	Yes	23	197.1	125	33.51	214.5	136	18.23	282.2	103	12.7	9.5	5	2.57	4	FALSE	364	64.44
02/28/10	AK	126	415	No	No	0	58.2	94	9.89	138.7	118	11.79	136.8	91	6.16	11.9	1	3.21	5	TRUE	303	27.84
03/01/10	NY	67	408	No	Yes	36	115.6	111	19.65	237.7	94	20.2	169.9	103	7.65	9.9	12	2.67	2	FALSE	308	47.5
03/02/10	NH	19	408	No	No	0	186.1	98	31.64	254.3	57	21.62	214	127	9.63	14.6	7	3.94	2	FALSE	282	62.89
03/03/10	VA	170	510	Yes	No	0	259.9	68	44.18	245	122	20.83	134.4	121	6.05	8.4	3	2.27	3	FALSE	311	71.06
03/04/10	NM	73	415	No	No	0	214.3	145	36.43	268.5	135	22.82	241.2	92	10.85	10.8	13	2.92	1	FALSE	372	70.1
03/05/10	NY	106	408	No	No	0	158.7	74	26.98	64.3	139	5.47	198.5	103	8.93	10.2	4	2.75	1	FALSE	316	41.38
03/06/10	AZ	93	415	No	No	0	271.6	71	46.17	229.4	108	19.5	77.3	121	3.48	10.9	3	2.94	2	FALSE	300	69.15
03/07/10	WY	164	510	No	No	0	160.6	111	27.3	163.2	126	13.87	187.1	112	8.42	9	3	2.43	1	FALSE	349	49.59
03/08/10	WA	51	408	No	No	0	232.4	109	39.51	187.4	95	15.93	231.2	107	10.4	9.1	3	2.46	1	FALSE	311	65.84
03/09/10	CO	107	415	No	No	0	133.8	85	22.75	180.5	94	15.34	112.2	115	5.05	8.9	4	2.4	0	FALSE	294	43.14
